"user_id","category","dq_issue","dq_issue_risk_level"
U1001,p3,plan_values_misaligned,minor_internal_impact
U1001,p1,status_mismatch,major_business_impact
U1001,p2,null_values_in_internal,minor_internal_impact
U1001,p2,null_values_in_billing,minor_business_impact
U1002,p1,timestamp_difference,major_business_impact
U1002,p2,null_values_in_billing,minor_business_impact
U1002,p2,null_values_in_internal,minor_internal_impact
U1002,p3,plan_values_misaligned,minor_internal_impact
U1002,p1,status_mismatch,major_business_impact
U1003,p1,status_mismatch,major_business_impact
U1003,p1,timestamp_difference,major_business_impact
U1003,p3,plan_values_misaligned,minor_internal_impact
U1004,p2,null_values_in_internal,minor_internal_impact
U1004,p3,status_values_misaligned,minor_internal_impact
U1004,p3,plan_values_misaligned,minor_internal_impact
U1004,p2,null_values_in_billing,minor_business_impact
U1005,p3,plan_values_misaligned,minor_internal_impact
U1005,p1,status_mismatch,major_business_impact
U1005,p1,timestamp_difference,major_business_impact
U1006,p3,plan_values_misaligned,minor_internal_impact
U1006,p2,null_values_in_internal,minor_internal_impact
U1006,p1,timestamp_difference,major_business_impact
U1006,p1,status_mismatch,major_business_impact
U1006,p2,null_values_in_billing,minor_business_impact
U1007,p1,status_mismatch,major_business_impact
U1007,p3,plan_values_misaligned,minor_internal_impact
U1008,p1,timestamp_difference,major_business_impact
U1008,p3,plan_values_misaligned,minor_internal_impact
U1008,p1,status_mismatch,major_business_impact
U1009,p3,status_values_misaligned,minor_internal_impact
U1009,p3,plan_values_misaligned,minor_internal_impact
U1009,p2,null_values_in_billing,minor_business_impact
U1009,p2,null_values_in_internal,minor_internal_impact
U1010,p1,status_mismatch,major_business_impact
U1010,p1,timestamp_difference,major_business_impact
U1010,p3,plan_values_misaligned,minor_internal_impact
U1011,p3,plan_values_misaligned,minor_internal_impact
U1011,p2,null_values_in_billing,minor_business_impact
U1011,p2,null_values_in_internal,minor_internal_impact
U1011,p3,status_values_misaligned,minor_internal_impact
U1012,p2,null_values_in_internal,minor_internal_impact
U1012,p1,timestamp_difference,major_business_impact
U1012,p2,null_values_in_billing,minor_business_impact
U1012,p1,status_mismatch,major_business_impact
U1012,p3,plan_values_misaligned,minor_internal_impact
